ID,Position X,Position Y,Position Z,Colour,D/V,G/W,Hemisphere,Neuron,MN,Commissural neuron,Midline cell,Glial cell,Uncertain,Damage,Chx10,ChAT,Notes
29,512.004,606.283,2925.5,r,v,g,r,yes,,no,,,no,,no,no,
30,443.614,678.183,2922.39,g,v,g,r,yes,,no,,,no,,no,no,
31,578.387,704.115,2919.28,r,v,g,r,yes,,no,,,no,,no,no,
32,534.631,742.708,2919.28,r,v,g,r,yes,,no,,,no,,no,no,
33,530.62,675.734,2906.84,r,v,g,r,yes,,no,,,no,,no,no,
34,493.635,696.698,2900.62,g,v,g,r,yes,,no,,,no,,no,no,
35,464.884,618.069,2906.84,g,v,g,r,yes,,no,,,no,,no,no,
36,613.495,630.709,2916.17,g,v,g,r,yes,,no,,,no,,no,no,
37,690.035,693.39,2913.06,g,d,g,r,no,,no,,pa,no,,no,no,
38,600.902,432.388,2913.06,r,d,g,r,no,,no,,fa,no,,no,no,
39,615.75,473.662,2900.62,r,d,g,r,no,,no,,pa,no,,no,no,
